col_name,long_name,unit,ID,vcoord,hcoord,var,tp_def,rel_to_tp,model,pvu,crit,var1,var2,tp_order
alt,Pressure Altitude = StdAltitu*0.3048 - barometric altitude,m,,z,,,,,MSMT,,,,,
Altitude ,Pressure Altitude [m] # Altitude=StdAltitu*0.3048,m,,z,,,,,MSMT,,,,,
AWAS_N2O,Nitrous oxide from flask (N2O - awas),ppbv,AWAS ,mxr,,,chem,FALSE,MSMT,,n2o,,,0
BAHAMAS_ALT,Pressure altitude,m,BAHAMAS,z,,,,FALSE,MSMT,,,,,
BAHAMAS_LAT,Latitude position above WGS84,degrees_north,BAHAMAS,,lat,,,,MSMT,,,,,
BAHAMAS_LON,Longitude position above WGS84,degrees_east,BAHAMAS,,lon,,,,MSMT,,,,,
BAHAMAS_POT,Potential Temperature,K,BAHAMAS,pt,,,,,MSMT,,,,,
BAHAMAS_PSTAT,Static Pressure (Bahamas) ,hPa,BAHAMAS,p,,,,,MSMT,,,,,
barometric_altitude_m,altitude,m,,z,,,,,MSMT,,,,,
CLaMS_N2O_ppb,Pseudo coord: Nitrous oxide from  CLaMS,ppb,CLAMS,mxr,,,chem,FALSE,CLAMS,,n2o,,,0
CLaMS_ST,CLaMS stratospheric air mass tracer,%,CLAMS,,,frac,,,CLAMS,,,,,
e5vdiff_tpot,potential temperature,K,EMAC,pt,,,,,EMAC,,,,,
e5vdiff_tpot_at_fl,potential temperature at flight level,K,EMAC,pt,,,,,EMAC,,,,,
ECHAM5_geopot,geopotential above ground level,m2 s-2,EMAC,z,,geopot,,,EMAC,,,,,
ECHAM5_geopot_at_fl,geopotential above ground level at current flight level,m2 s-2,EMAC,z,,geopot,,,EMAC,,,,,
ECHAM5_height,Geopotential height (ECHAM5) ,km,EMAC_calc,z,,,,,EMAC,,,ECHAM5_geopot,,
ECHAM5_height_at_fl,Geopotential height (ECHAM5) at flight level ,km,EMAC_calc,z,,,,,EMAC,,,ECHAM5_geopot_at_fl,,
ECHAM5_press,pressure,hPa,EMAC,p,,,,FALSE,EMAC,,,,,
ECHAM5_tpoteq,equivalent potential temperature,K,EMAC,eqpt,,,,FALSE,EMAC,,,,,
ECHAM5_vom1,vorticity,s-1,EMAC,,,vom1,,,EMAC,,,,,
ERA5_D_HEIGHT_1_5,Geopotential height relative to local 1.5 PVU surface (ERA5),km,ERA5_calc,z,,z,dyn,TRUE,ERA5,1.5,,ERA5_HEIGHT,ERA5_HEIGHT_1_5,0
ERA5_D_HEIGHT_2_0,Geopotential height relative to local 2.0 PVU surface (ERA5),km,ERA5_calc,z,,z,dyn,TRUE,ERA5,2,,ERA5_HEIGHT,ERA5_HEIGHT_2_0,0
ERA5_D_HEIGHT_3_5,Geopotential height relative to  local 3.5 PVU surface (ERA5),km,ERA5_calc,z,,z,dyn,TRUE,ERA5,3.5,,ERA5_HEIGHT,ERA5_HEIGHT_3_5,0
ERA5_D_HEIGHT_3_5_Second,Geopotential height relative to secondary local 3.5 PVU surface (ERA5),km,ERA5_calc,z,,z,dyn,TRUE,ERA5,3.5,,ERA5_HEIGHT,ERA5_HEIGHT_3_5_Second,1
ERA5_D_HEIGHT_thermTP,Height relative to  main lapse rate tropopause (ERA5),km,ERA5_calc,z,,z,therm,TRUE,ERA5,,,ERA5_HEIGHT,ERA5_thermTP_Z,0
