;Mid_UTC;O3;O3_unc;H_rel_TP
2023-08-10 07:40:32.900000+00:00;27632.9;54.2;1.14;NaN
2023-08-10 07:40:36.900000+00:00;27636.9;55.2;1.16;NaN
2023-08-10 07:40:40.800000+00:00;27640.8;56.6;1.19;NaN
2023-08-10 07:40:44.800000+00:00;27644.8;57.7;1.21;NaN
2023-08-10 07:40:48.900000+00:00;27648.9;58.3;1.22;NaN
2023-08-10 07:40:52.900000+00:00;27652.9;58.7;1.23;NaN
2023-08-10 07:40:56.900000+00:00;27656.9;59.5;1.25;NaN
2023-08-10 07:41:00.900000+00:00;27660.9;60.0;1.26;NaN
2023-08-10 07:41:04.900000+00:00;27664.9;59.3;1.25;NaN
2023-08-10 07:41:08.900000+00:00;27668.9;58.1;1.22;NaN
2023-08-10 07:41:12.800000+00:00;27672.8;57.4;1.21;NaN
2023-08-10 07:41:16.800000+00:00;27676.8;57.0;1.2;NaN
2023-08-10 07:41:20.800000+00:00;27680.8;55.9;1.17;NaN
2023-08-10 07:41:24.800000+00:00;27684.8;54.9;1.15;NaN
2023-08-10 07:41:28.800000+00:00;27688.8;54.6;1.15;NaN
2023-08-10 07:41:32.900000+00:00;27692.9;54.4;1.14;NaN
2023-08-10 07:41:36.800000+00:00;27696.8;54.4;1.14;NaN
2023-08-10 07:41:40.800000+00:00;27700.8;54.5;1.15;NaN
2023-08-10 07:41:44.800000+00:00;27704.8;55.0;1.15;NaN
2023-08-10 07:41:48.800000+00:00;27708.8;55.1;1.16;NaN
2023-08-10 07:41:52.800000+00:00;27712.8;54.9;1.15;NaN
2023-08-10 07:41:56.800000+00:00;27716.8;54.6;1.15;NaN
2023-08-10 07:42:00.800000+00:00;27720.8;54.6;1.15;NaN
2023-08-10 07:42:04.800000+00:00;27724.8;54.5;1.15;NaN
2023-08-10 07:42:08.800000+00:00;27728.8;54.6;1.15;NaN
2023-08-10 07:42:12.800000+00:00;27732.8;54.9;1.15;NaN
2023-08-10 07:42:16.800000+00:00;27736.8;54.9;1.15;NaN
2023-08-10 07:42:20.800000+00:00;27740.8;54.7;1.15;NaN
2023-08-10 07:42:24.800000+00:00;27744.8;54.9;1.15;NaN
2023-08-10 07:42:28.800000+00:00;27748.8;55.3;1.16;NaN
2023-08-10 07:42:32.800000+00:00;27752.8;55.6;1.17;NaN
2023-08-10 07:42:36.800000+00:00;27756.8;55.5;1.17;NaN
2023-08-10 07:42:40.900000+00:00;27760.9;55.4;1.16;NaN
2023-08-10 07:42:44.800000+00:00;27764.8;55.2;1.16;NaN
2023-08-10 07:42:48.800000+00:00;27768.8;55.2;1.16;NaN
2023-08-10 07:42:52.800000+00:00;27772.8;55.3;1.16;NaN
2023-08-10 07:42:56.800000+00:00;27776.8;55.5;1.16;NaN
2023-08-10 07:43:00.800000+00:00;27780.8;56.1;1.18;NaN
2023-08-10 07:43:04.800000+00:00;27784.8;56.9;1.2;NaN
