;Mid_UTC;O3;O3_unc;H_rel_TP
2023-08-21 08:47:43.100000+00:00;31663.1;61.6;1.29;NaN
2023-08-21 08:47:47.100000+00:00;31667.1;61.2;1.29;NaN
2023-08-21 08:47:51.100000+00:00;31671.1;62.5;1.31;NaN
2023-08-21 08:47:55+00:00;31675.0;65.9;1.38;NaN
2023-08-21 08:47:59.100000+00:00;31679.1;70.8;1.49;NaN
2023-08-21 08:48:03.100000+00:00;31683.1;75.5;1.59;NaN
2023-08-21 08:48:07.100000+00:00;31687.1;77.0;1.62;NaN
2023-08-21 08:48:11.100000+00:00;31691.1;74.4;1.56;NaN
2023-08-21 08:48:15.100000+00:00;31695.1;71.9;1.51;NaN
2023-08-21 08:48:19.100000+00:00;31699.1;73.5;1.54;NaN
2023-08-21 08:48:23.100000+00:00;31703.1;74.8;1.57;NaN
2023-08-21 08:48:27.100000+00:00;31707.1;74.1;1.56;NaN
2023-08-21 08:48:31.100000+00:00;31711.1;73.7;1.55;NaN
2023-08-21 08:48:35.100000+00:00;31715.1;73.2;1.54;NaN
2023-08-21 08:48:39.100000+00:00;31719.1;73.3;1.54;NaN
2023-08-21 08:48:43+00:00;31723.0;75.2;1.58;NaN
2023-08-21 08:48:47.100000+00:00;31727.1;76.9;1.62;NaN
2023-08-21 08:48:51.100000+00:00;31731.1;77.6;1.63;NaN
2023-08-21 08:48:55+00:00;31735.0;76.8;1.61;NaN
2023-08-21 08:48:59+00:00;31739.0;75.3;1.58;NaN
2023-08-21 08:49:03+00:00;31743.0;73.8;1.55;NaN
2023-08-21 08:49:07+00:00;31747.0;72.4;1.52;NaN
2023-08-21 08:49:11+00:00;31751.0;70.9;1.49;NaN
2023-08-21 08:49:15+00:00;31755.0;70.2;1.47;NaN
2023-08-21 08:49:19+00:00;31759.0;70.5;1.48;NaN
2023-08-21 08:49:23+00:00;31763.0;71.3;1.5;NaN
2023-08-21 08:49:27+00:00;31767.0;71.5;1.5;NaN
2023-08-21 08:49:31+00:00;31771.0;71.2;1.49;NaN
2023-08-21 08:49:35+00:00;31775.0;71.4;1.5;NaN
2023-08-21 08:49:39+00:00;31779.0;71.8;1.51;NaN
2023-08-21 08:49:43.100000+00:00;31783.1;71.8;1.51;NaN
2023-08-21 08:49:47+00:00;31787.0;71.3;1.5;NaN
2023-08-21 08:49:51+00:00;31791.0;71.3;1.5;NaN
2023-08-21 08:49:55+00:00;31795.0;71.7;1.51;NaN
2023-08-21 08:49:59+00:00;31799.0;71.7;1.51;NaN
2023-08-21 08:50:03+00:00;31803.0;71.7;1.51;NaN
2023-08-21 08:50:07+00:00;31807.0;71.8;1.51;NaN
2023-08-21 08:50:11+00:00;31811.0;72.1;1.51;NaN
2023-08-21 08:50:15+00:00;31815.0;72.5;1.52;NaN
2023-08-21 08:50:19+00:00;31819.0;73.1;1.54;NaN
2023-08-21 08:50:23+00:00;31823.0;73.7;1.55;NaN
2023-08-21 08:50:27+00:00;31827.0;74.3;1.56;NaN
2023-08-21 08:50:31+00:00;31831.0;75.0;1.57;NaN
2023-08-21 08:50:35+00:00;31835.0;76.0;1.6;NaN
2023-08-21 08:50:39+00:00;31839.0;77.5;1.63;NaN
2023-08-21 08:50:43+00:00;31843.0;78.3;1.64;NaN
2023-08-21 08:50:47+00:00;31847.0;78.6;1.65;NaN
2023-08-21 08:50:51+00:00;31851.0;79.8;1.68;NaN
2023-08-21 08:50:55+00:00;31855.0;80.8;1.7;NaN
2023-08-21 08:50:59+00:00;31859.0;81.0;1.7;NaN
2023-08-21 08:51:03+00:00;31863.0;81.4;1.71;NaN
2023-08-21 08:51:07+00:00;31867.0;82.6;1.73;-1.4499888871081965
2023-08-21 08:51:11+00:00;31871.0;82.3;1.73;-1.4882339300136331
2023-08-21 08:51:15+00:00;31875.0;79.7;1.67;NaN
2023-08-21 08:51:19+00:00;31879.0;77.3;1.62;NaN
2023-08-21 08:51:23+00:00;31883.0;76.1;1.6;NaN
2023-08-21 08:51:27+00:00;31887.0;75.3;1.58;NaN
2023-08-21 08:51:31+00:00;31891.0;74.0;1.55;NaN
2023-08-21 08:51:35+00:00;31895.0;72.2;1.52;NaN
2023-08-21 08:51:39+00:00;31899.0;71.3;1.5;NaN
2023-08-21 08:51:43+00:00;31903.0;71.2;1.5;NaN
2023-08-21 08:51:47+00:00;31907.0;71.3;1.5;NaN
2023-08-21 08:51:51+00:00;31911.0;71.7;1.51;NaN
2023-08-21 08:51:55+00:00;31915.0;72.8;1.53;NaN
2023-08-21 08:51:59+00:00;31919.0;73.5;1.54;NaN
2023-08-21 08:52:03+00:00;31923.0;73.7;1.55;NaN
2023-08-21 08:52:07+00:00;31927.0;73.7;1.55;NaN
2023-08-21 08:52:11+00:00;31931.0;74.0;1.55;NaN
2023-08-21 08:52:15+00:00;31935.0;74.4;1.56;NaN
2023-08-21 08:52:19+00:00;31939.0;74.0;1.55;NaN
2023-08-21 08:52:23.100000+00:00;31943.1;72.5;1.52;NaN
2023-08-21 08:52:27+00:00;31947.0;70.9;1.49;NaN
2023-08-21 08:52:31+00:00;31951.0;70.1;1.47;NaN
2023-08-21 08:52:35+00:00;31955.0;70.8;1.49;NaN
2023-08-21 08:52:39+00:00;31959.0;72.9;1.53;NaN
2023-08-21 08:52:43+00:00;31963.0;74.4;1.56;NaN
2023-08-21 08:52:47+00:00;31967.0;74.3;1.56;NaN
2023-08-21 08:52:51+00:00;31971.0;71.7;1.51;NaN
2023-08-21 08:52:55+00:00;31975.0;68.7;1.44;NaN
2023-08-21 08:52:59+00:00;31979.0;67.6;1.42;NaN
2023-08-21 08:53:03+00:00;31983.0;67.7;1.42;NaN
2023-08-21 08:53:07+00:00;31987.0;68.2;1.43;NaN
2023-08-21 08:53:11+00:00;31991.0;68.1;1.43;NaN
2023-08-21 08:53:15+00:00;31995.0;66.5;1.4;NaN
2023-08-21 08:53:19+00:00;31999.0;64.4;1.35;NaN
2023-08-21 08:53:23+00:00;32003.0;63.9;1.34;NaN
2023-08-21 08:53:27+00:00;32007.0;63.8;1.34;NaN
2023-08-21 08:53:31+00:00;32011.0;62.7;1.32;NaN
2023-08-21 08:53:35+00:00;32015.0;61.8;1.3;NaN
2023-08-21 08:53:39+00:00;32019.0;62.1;1.3;NaN
2023-08-21 08:53:43+00:00;32023.0;62.7;1.32;NaN
2023-08-21 08:53:47+00:00;32027.0;63.1;1.33;NaN
2023-08-21 08:53:51+00:00;32031.0;63.4;1.33;NaN
2023-08-21 08:53:55+00:00;32035.0;64.1;1.35;NaN
2023-08-21 08:53:59+00:00;32039.0;64.9;1.36;NaN
2023-08-21 08:54:03+00:00;32043.0;65.2;1.37;NaN
2023-08-21 08:54:07+00:00;32047.0;65.4;1.37;NaN
2023-08-21 08:54:11+00:00;32051.0;65.6;1.38;NaN
2023-08-21 08:54:15+00:00;32055.0;65.9;1.38;NaN
2023-08-21 08:54:19+00:00;32059.0;66.3;1.39;NaN
2023-08-21 08:54:23+00:00;32063.0;66.4;1.39;NaN
2023-08-21 08:54:27+00:00;32067.0;66.0;1.39;NaN
2023-08-21 08:54:31+00:00;32071.0;65.1;1.37;NaN
2023-08-21 08:54:35+00:00;32075.0;64.4;1.35;NaN
2023-08-21 08:54:39+00:00;32079.0;64.2;1.35;NaN
2023-08-21 08:54:43+00:00;32083.0;66.4;1.39;NaN
2023-08-21 08:54:47+00:00;32087.0;70.5;1.48;NaN
2023-08-21 08:54:51+00:00;32091.0;73.1;1.53;NaN
2023-08-21 08:54:55+00:00;32095.0;73.1;1.54;NaN
2023-08-21 08:54:59+00:00;32099.0;72.9;1.53;NaN
2023-08-21 08:55:03+00:00;32103.0;72.7;1.53;NaN
2023-08-21 08:55:07+00:00;32107.0;72.1;1.51;NaN
