;Mid_UTC;O3;O3_unc;H_rel_TP
2023-08-21 14:02:41.900000+00:00;50561.9;45.2;1.0;NaN
2023-08-21 14:02:45.900000+00:00;50565.9;44.8;1.0;NaN
2023-08-21 14:02:49.900000+00:00;50569.9;44.5;1.0;NaN
2023-08-21 14:02:53.900000+00:00;50573.9;44.4;1.0;NaN
2023-08-21 14:02:57.900000+00:00;50577.9;44.2;1.0;NaN
2023-08-21 14:03:01.900000+00:00;50581.9;43.9;1.0;NaN
2023-08-21 14:03:05.900000+00:00;50585.9;43.6;1.0;NaN
2023-08-21 14:03:09.900000+00:00;50589.9;43.2;1.0;NaN
2023-08-21 14:03:13.900000+00:00;50593.9;43.2;1.0;NaN
2023-08-21 14:03:17.900000+00:00;50597.9;43.2;1.0;NaN
2023-08-21 14:03:21.900000+00:00;50601.9;43.2;1.0;NaN
2023-08-21 14:03:25.900000+00:00;50605.9;43.3;1.0;NaN
2023-08-21 14:03:29.900000+00:00;50609.9;43.6;1.0;NaN
2023-08-21 14:03:33.900000+00:00;50613.9;44.0;1.0;NaN
2023-08-21 14:03:37.900000+00:00;50617.9;44.7;1.0;NaN
2023-08-21 14:03:41.900000+00:00;50621.9;45.4;1.0;NaN
2023-08-21 14:03:45.900000+00:00;50625.9;45.7;1.0;NaN
2023-08-21 14:03:49.900000+00:00;50629.9;45.1;1.0;NaN
2023-08-21 14:03:53.900000+00:00;50633.9;44.4;1.0;NaN
2023-08-21 14:03:57.900000+00:00;50637.9;43.8;1.0;NaN
2023-08-21 14:04:01.900000+00:00;50641.9;43.5;1.0;NaN
2023-08-21 14:04:05.900000+00:00;50645.9;43.5;1.0;NaN
2023-08-21 14:04:09.900000+00:00;50649.9;44.0;1.0;NaN
2023-08-21 14:04:13.900000+00:00;50653.9;45.0;1.0;NaN
2023-08-21 14:04:17.900000+00:00;50657.9;45.4;1.0;NaN
2023-08-21 14:04:21.900000+00:00;50661.9;44.7;1.0;NaN
2023-08-21 14:04:25.900000+00:00;50665.9;47.4;1.0;NaN
2023-08-21 14:04:29.900000+00:00;50669.9;55.3;1.16;NaN
2023-08-21 14:04:33.900000+00:00;50673.9;60.2;1.26;NaN
2023-08-21 14:04:37.900000+00:00;50677.9;59.8;1.26;NaN
2023-08-21 14:04:41.900000+00:00;50681.9;59.2;1.24;NaN
2023-08-21 14:04:45.900000+00:00;50685.9;58.4;1.23;NaN
2023-08-21 14:04:49.900000+00:00;50689.9;57.6;1.21;NaN
2023-08-21 14:04:53.900000+00:00;50693.9;58.1;1.22;NaN
2023-08-21 14:04:57.900000+00:00;50697.9;60.1;1.26;NaN
2023-08-21 14:05:01.900000+00:00;50701.9;61.4;1.29;NaN
2023-08-21 14:05:05.900000+00:00;50705.9;61.5;1.29;NaN
2023-08-21 14:05:09.900000+00:00;50709.9;62.0;1.3;NaN
2023-08-21 14:05:13.900000+00:00;50713.9;62.6;1.31;NaN
2023-08-21 14:05:17.900000+00:00;50717.9;62.8;1.32;NaN
2023-08-21 14:05:21.900000+00:00;50721.9;63.6;1.34;NaN
2023-08-21 14:05:25.900000+00:00;50725.9;65.0;1.36;NaN
2023-08-21 14:05:29.900000+00:00;50729.9;66.0;1.39;NaN
2023-08-21 14:05:33.900000+00:00;50733.9;65.7;1.38;NaN
2023-08-21 14:05:37.900000+00:00;50737.9;65.2;1.37;NaN
2023-08-21 14:05:41.900000+00:00;50741.9;65.2;1.37;NaN
2023-08-21 14:05:45.900000+00:00;50745.9;66.1;1.39;NaN
2023-08-21 14:05:49.900000+00:00;50749.9;66.7;1.4;NaN
2023-08-21 14:05:53.900000+00:00;50753.9;66.4;1.39;NaN
2023-08-21 14:05:57.900000+00:00;50757.9;64.3;1.35;NaN
2023-08-21 14:06:01.900000+00:00;50761.9;61.1;1.28;NaN
2023-08-21 14:06:05.900000+00:00;50765.9;57.9;1.22;NaN
2023-08-21 14:06:09.900000+00:00;50769.9;53.8;1.13;NaN
2023-08-21 14:06:13.900000+00:00;50773.9;47.5;1.0;NaN
2023-08-21 14:06:17.900000+00:00;50777.9;42.4;1.0;NaN
2023-08-21 14:06:21.900000+00:00;50781.9;40.7;1.0;NaN
