instrument,variable,col_name,TACTS,PGS,WISE,SHTR,ATOM,HIPPO,PHL
BAHAMAS,ALT,BAHAMAS_ALT,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
BAHAMAS,LAT,BAHAMAS_LAT,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
BAHAMAS,LON,BAHAMAS_LON,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
BAHAMAS,POT,BAHAMAS_POT,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
BAHAMAS,PSTAT,BAHAMAS_PSTAT,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FAIRO,O3,FAIRO_O3,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
FAIRO,O3_unc,FAIRO_d_O3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
GCECD,CH4,GCECD_CH4,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
GCECD,CH4e,GCECD_d_CH4,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
GCECD,N2O,GCECD_N2O,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
GCECD,N2Oe,GCECD_d_N2O,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
GCECD,SF6,GCECD_SF6,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
GCECD,SF6e,GCECD_d_SF6,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
GHOST_ECD,SF6,GHOST_SF6,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
GLORIA,altitude,GLORIA_altitude,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
GLORIA,lapse_rate,GLORIA_lapse_rate,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
HAGARV_LI,CO2,HAGAR_CO2,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
HAGARV_LI,CO2_err,HAGAR_d_CO2,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
MMS,G_ALT,MMS_ALT,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
MMS,G_LAT,MMS_LAT,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
MMS,G_LONG,MMS_LON,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
MMS,P,MMS_PRESS,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
MMS,POT,MMS_THETA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
MMS,T,MMS_TEMP,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
TRIHOP,CH4,TRIHOP_CH4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
TRIHOP,CO,TRIHOP_CO,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
TRIHOP,N2O,TRIHOP_N2O,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
TRIHOP_CH4,CH4,TRIHOP_CH4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRIHOP_CO,CO,TRIHOP_CO,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRIHOP_CO2,CO2,TRIHOP_CO2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRIHOP_N2O,N2O,TRIHOP_N2O,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
UMAQS,CH4,UMAQS_CH4,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
UMAQS,CO2,UMAQS_CO2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
UMAQS,N2O,UMAQS_N2O,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
UMAQS,CO,UMAQS_CO,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
CLAMS,EQLAT,ERAInt_EQLAT,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRAJ_2PV,DP,ERAInt_D_2_0PVU_PRESS,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRAJ_2PV,DTH,ERAInt_D_2_0PVU_THETA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRAJ_WMO,DP,ERAInt_D_STROP_PRESS,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRAJ_WMO,DTH,ERAInt_D_STROP_THETA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRAJ_WMO,PV,ERAInt_PV,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
MET,PALT,hiaper_MET_PALT,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
MET,GGLAT,hiaper_MET_LAT,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
MET,GGLON,hiaper_MET_LON,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
MET,PSXC,hiaper_MET_PRESS,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
MET,THETA,hiaper_MET_THETA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
AWAS,CFC11,awas_CFC11,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
AWAS,CFC12,awas_CFC12,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
AWAS,SF6,awas_SF6,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
AWAS,CH4flask,awas_CH4,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
AWAS,N2Oflask,awas_N2O,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
AWAS,COflask,awas_CO,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
NWAS,CFC11,nwas_CFC11,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
NWAS,CFC12,nwas_CFC12,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
NWAS,SF6,nwas_SF6,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
NWAS,CH4flask,nwas_CH4,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
NWAS,N2Oflask,nwas_N2O,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
NWAS,COflask,nwas_CO,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
NWAS,CO2flask,nwas_CO2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
MEDUSA,CO2flask,medusa_CO2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
PANTHER_ECD,SF6,panther_SF6,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
O3,O3,HIPPO_O3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
