col_name,long_name,short_name,unit,ID,source,model,function
GCECD_CH4,CH4 dry mole fraction mixing ratio (ppb),ch4,ppb,GCECD,ATOM,MSMT,h
CH4,CH4 mixing ratio,ch4,ppb,GHG,Caribic,MSMT,h
int_CH4,Methane dry air mole fraction from Picarro instrument integrated over sampling interval,ch4,ppb,INT,Caribic,MSMT,h
int_CLaMS_CH4,CH4 (CLaMS),ch4,ppb,INTtpc,Caribic,CLAMS,h
tracer_gp_CH4_at_fl,tracer GP CH4,ch4,mol mol-1,EMAC,EMAC,EMAC,h
TRIHOP_CH4,Methane [ppb - inferred],ch4,ppb,TRIHOP,HALO,MSMT,h
UMAQS_CH4,Methane [ppb - inferred],ch4,ppb,UMAQS,HALO,MSMT,h
awas_CH4,awas Methane from flask / FID (CH4) - U. Miami ,ch4,ppbv,AWAS ,HIAPER,MSMT,h
nwas_CH4,nwas Methane from flask / MAGICC(CH4) - noaa,ch4,ppb,NWAS,HIAPER,MSMT,h
ch4_MLO,measured_mole_fraction_of_ch4_in_dry_air,ch4,ppb,MLO,Mauna_Loa,MSMT,h
int_CO,CO integrated over flask sampling time from 1s resolution measurements,co,ppb,INT,Caribic,MSMT,h
int_CLaMS_CO,CO (CLaMS),co,ppb,INTtpc,Caribic,CLAMS,h
TRIHOP_CO,Carbon monoxide,co,ppb,TRIHOP,HALO,MSMT,h
awas_CO,awas Carbon monoxide from flask / RGD (CO) - U. Miami ,co,ppbv,AWAS ,HIAPER,MSMT,h
nwas_CO,nwas Carbon monoxide from flask / MAGICC (CO) - noaa,co,ppb,NWAS,HIAPER,MSMT,h
co_MLO,CO CCGG (Individual Flasks),co,ppb,MLO,Mauna_Loa,MSMT,h
UMAQS_CO,CO volume mixing ratio,co,ppbv,UMAQS,HALO,MSMT,h
CO2,CO2 mixing ratio,co2,ppm,GHG,Caribic,MSMT,h
int_CO2,Carbon dioxide dry air mole fraction from Picarro instrument integrated over sampling interval,co2,ppm,INT,Caribic,MSMT,h
int_CLaMS_CO2,CO2 (CLaMS),co2,ppm,INTtpc,Caribic,CLAMS,h
tracer_gp_CO2_at_fl,tracer GP CO2,co2,mol mol-1,EMAC,EMAC,EMAC,h
HAGAR_CO2,Carbon dioxide [ppm - inferred],co2,ppm,HAGAR,HALO,MSMT,h
TRIHOP_CO2,Carbon dioxide,co2,ppm,TRIHOP,HALO,MSMT,h
UMAQS_CO2,Carbon dioxide [ppm - inferred],co2,ppm,UMAQS,HALO,MSMT,h
medusa_CO2,medusa Carbon dioxide from flask (CO2) - Scripps,co2,ppm,MEDUSA ,HIAPER,MSMT,h
nwas_CO2,nwas Carbon dioxide from flask / MAGICC (CO2)  - noaa,co2,ppm,NWAS,HIAPER,MSMT,h
co2_MLO,measured_mole_fraction_of_co2_in_dry_air,co2,ppm,MLO,Mauna_Loa,MSMT,h
GCECD_d_CH4,CH4 dry mole fraction mixing ratio error 1-s (ppb),d_ch4,ppb,GCECD,ATOM,MSMT,
d_CH4,absolute precision of CH4,d_ch4,ppb,GHG,Caribic,MSMT,
ch4_std_dev_MLO,standard_deviation_in_reported_ch4_value,d_ch4,ppb,MLO,Mauna_Loa,MSMT,
d_CO2,absolute precision of CO2,d_co2,ppm,GHG,Caribic,MSMT,
HAGAR_d_CO2,Carbon dioxide error [ppm - inferred],d_co2,ppm,HAGAR,HALO,MSMT,
co2_std_dev_MLO,standard_deviation_in_reported_co2_value,d_co2,ppm,MLO,Mauna_Loa,MSMT,
GCECD_d_N2O,N2O dry mole fraction mixing ratio error 1-s (ppb),d_n2o,ppb,GCECD,ATOM,MSMT,
d_N2O,absolute precision of N2O,d_n2o,ppb,GHG,Caribic,MSMT,
N2OcatsMLOsd,Standard deviation (sd): estimate of atmospheric variability,d_n2o,ppb,MLO,Mauna_Loa,MSMT,
N2OcatsMLOunc,Standard deviation (unc): estimate of instrumental precision,d_n2o,ppb,MLO,Mauna_Loa,MSMT,
GCECD_d_SF6,SF6 dry mole fraction mixing ratio error 1-s (ppt),d_sf6,ppt,GCECD,ATOM,MSMT,
